experiment_id,variant_name,model_name,pretrainer,dataset,freeze_encoder,encoder_type,scorer_type,weakly_supervision,config_type,model_cate,architecture,input_dim,latent_dim,components_used
fb1da025-b8cb-4edb-ad6b-f545a9e9e31d,feature_ae_loss_scorer,feawad,True,fraud,,,scoring_network,30,feawad_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
7a6a9cfb-ba9e-412f-83ba-8380eab8bf9a,feature_ae_loss_scorer,feawad,True,fraud,,,scoring_network,60,feawad_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
ce2c7321-579c-4af0-ab01-43ad53cc6fa9,feature_ae_loss_scorer,feawad,True,fraud,,,scoring_network,90,feawad_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
a74bf5e4-f868-4688-90af-b8d3e3db2c33,feature_ae_loss_scorer,feawad,True,fraud,,,scoring_network,120,feawad_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
24852ebe-1b7d-4d20-89d6-82f0bdce3248,feature_ae_loss_scorer,vae_feawad,True,nslkdd,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,122,64,"['feature', 'ae', 'loss', 'scorer']"
a081956f-e52f-4308-a8fc-fab018142164,feature_ae_loss_scorer,vae_feawad,True,nslkdd,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,122,64,"['feature', 'ae', 'loss', 'scorer']"
f37a5959-1a1e-4be5-837a-d24d398aebc2,feature_ae_loss_scorer,vae_feawad,True,nslkdd,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,122,64,"['feature', 'ae', 'loss', 'scorer']"
bea03d09-9d3a-442d-97c4-8887df0fad9b,feature_ae_loss_scorer,vae_feawad,True,nslkdd,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,122,64,"['feature', 'ae', 'loss', 'scorer']"
f7fdef86-275a-4534-aaa4-c53fb22c6ac9,feature_ae_loss_scorer,vae_feawad,True,spambase,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,57,64,"['feature', 'ae', 'loss', 'scorer']"
ac09649b-76d6-4219-902e-8f8f25a61c8c,feature_ae_loss_scorer,vae_feawad,True,spambase,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,57,64,"['feature', 'ae', 'loss', 'scorer']"
6cf0fc4d-fded-4d8d-a68a-10e3dc46067d,feature_ae_loss_scorer,vae_feawad,True,spambase,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,57,64,"['feature', 'ae', 'loss', 'scorer']"
e024ef2a-852f-4714-a733-cd9e826d2dee,feature_ae_loss_scorer,vae_feawad,True,spambase,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,57,64,"['feature', 'ae', 'loss', 'scorer']"
a2b3c468-a6f9-4d15-b701-e7b872e48822,feature_ae_loss_scorer,vae_feawad,True,arrhythmia,,,scoring_network,15,vae_feawad_default_configs,proposed,VAE,279,64,"['feature', 'ae', 'loss', 'scorer']"
